Catalogue Entry;Familiar Name;Alternative Entries;Type;Constellation;Right Ascension (j2000);Declination (j2000);Magnitude;Size;Surface Brightness (mag/arcsec2);Notes;Right Ascension (jNow);Declination (jNow)
IC 448;;LBN 931,CED 79;Reflection Nebula;Monoceros;"06h 34' 00""""";"07º 18' 00""""";;15' x 10';;;"06h 35' 22""""";"07º 16' 44"""""
NGC 6625;;;Open Cluster;Scutum;"18h 22' 47""""";"-11º 57' 18""""";9.0;15' x 15';45833;;"18h 24' 12""""";"-11º 56' 26"""""
LBN 271;;LBN 079.99+00.01;HII Region;Cygnus;"20h 36' 00""""";"40º 42' 00""""";;40' x 10';;;"20h 36' 55""""";"40º 47' 18"""""
LBN 986;;LBN 212.03-01.15;HII Region;Monoceros;"06h 46' 00""""";"00º 12' 00""""";;20' x 5';;;"06h 47' 18""""";"00º 10' 18"""""
SH 2-210;;LBN 712,LBN 152.67+02.84;HII Region;Perseus;"04h 31' 08""""";"52º 29' 24""""";;20';;;"04h 33' 06""""";"52º 32' 33"""""
SH 2-59;;LBN 80,LBN 024.48-00.22;HII Region;Scutum;"18h 37' 00""""";"-07º 35' 00""""";;20';;;"18h 38' 22""""";"-07º 33' 37"""""
SH 2-53;;;HII Region;Scutum;"18h 25' 16""""";"-13º 13' 17""""";;15';;;"18h 26' 42""""";"-13º 12' 20"""""
SH 2-176;;LBN 597,LBN 120.29-05.51,PK 120-05 1;Planetary Nebula;Cassiopeia;"00h 31' 54""""";"57º 22' 33""""";;10';;;"00h 33' 18""""";"57º 30' 53"""""
NGC 381;;CL COLLINDER 10,OCL 317.0;Open Cluster;Cassiopeia;"01h 08' 20""""";"61º 35' 02""""";09.mar;11' x 11';45710;;"01h 09' 56""""";"61º 43' 04"""""
LDN 1353;;;Dark Nebula;Cassiopeia;"02h 44' 24""""";"68º 13' 00""""";;1.6º x 1.6º;;;"02h 46' 37""""";"68º 19' 19"""""
ACO 576;;;Cluster of Galaxies;Lynx;"07h 21' 24""""";"55º 44' 20""""";;21' x 21';;;"07h 23' 28""""";"55º 41' 22"""""
LBN 987;;LBN 212.06-01.45;HII Region;Monoceros;"06h 45' 00""""";"00º 06' 00""""";;20' x 8';;;"06h 46' 17""""";"00º 04' 20"""""
LDN 769;;;Dark Nebula;Vulpecula;"19h 24' 22""""";"23º 04' 06""""";;20' x 13';;;"19h 25' 26""""";"23º 07' 09"""""
SH 2-293;;LBN 1030,LBN 224.19-02.68,VDB 88,HD 52721,HIP 33868,IRAS 06594-1113;Star;Canis Major;"07h 01' 50""""";"-11º 18' 03""""";06.cze;11';20.44;;"07h 03' 00""""";"-11º 20' 19"""""
NGC 2331;;CL COLLINDER 126,OCL 475;Open Cluster;Gemini;"07h 06' 43""""";"27º 15' 18""""";08.maj;19';45800;;"07h 08' 17""""";"27º 12' 52"""""
LBN 668;;LBN 137.29-09.96;HII Region;Andromeda;"02h 21' 00""""";"50º 24' 00""""";;2.5º x 1º;;;"02h 22' 41""""";"50º 30' 51"""""
LDN 333;;;Dark Nebula;Sagittarius;"18h 10' 54""""";"-16º 49' 00""""";;42' x 42';;;"18h 12' 22""""";"-16º 48' 34"""""
LBN 421;;LBN 094.08-01.36;HII Region;Cygnus;"21h 36' 00""""";"50º 12' 00""""";;30' x 12';;;"21h 36' 54""""";"50º 18' 49"""""
LBN 971;;LBN 972,LBN 973,LBN 208.69-02.51;HII Region;Monoceros;"06h 35' 00""""";"02º 42' 00""""";;25' x 20';;;"06h 36' 19""""";"02º 40' 42"""""
LDN 772;;;Dark Nebula;Vulpecula;"19h 25' 06""""";"23º 06' 00""""";;16' x 16';;;"19h 26' 10""""";"23º 09' 04"""""
SH 2-43;;;HII Region;Sagittarius;"18h 16' 24""""";"-17º 24' 00""""";;15';;;"18h 17' 52""""";"-17º 23' 22"""""
LBN 167;;LBN 071.40-11.76;HII Region;Vulpecula;"20h 55' 00""""";"26º 42' 00""""";;1.2º x 30';;;"20h 56' 05""""";"26º 47' 50"""""
LDN 1081;;;Dark Nebula;Cygnus;"21h 36' 42""""";"54º 24' 00""""";;46' x 46';;;"21h 37' 32""""";"54º 30' 50"""""
ACO 400;;;Cluster of Galaxies;Cetus;"02h 57' 37""""";"06º 00' 45""""";;20' x 20';;;"02h 58' 57""""";"06º 06' 45"""""
IC 1985;;;Open Cluster;Perseus;"03h 44' 34""""";"32º 09' 47""""";07.mar;10';20.93;;"03h 46' 09""""";"32º 14' 27"""""
LBN 159;;LBN 069.96+01.35;HII Region;Cygnus;"20h 02' 00""""";"33º 06' 00""""";;1.3º x 30';;;"20h 02' 59""""";"33º 10' 17"""""
LBN 289;;LBN 080.61-03.43;HII Region;Cygnus;"20h 52' 00""""";"39º 00' 00""""";;1º x 25';;;"20h 52' 58""""";"39º 05' 45"""""
LDN 874;;;Dark Nebula;Cygnus;"20h 42' 00""""";"35º 11' 00""""";;1º x 15';;;"20h 42' 59""""";"35º 16' 29"""""
LBN 889;;LBN 199.67+01.11;HII Region;Gemini;"06h 31' 00""""";"12º 18' 00""""";;55' x 20';;;"06h 32' 25""""";"12º 16' 50"""""
LDN 965;;;Dark Nebula;Cygnus;"21h 19' 48""""";"45º 53' 00""""";;40' x 40';;;"21h 20' 43""""";"45º 59' 27"""""
LBN 803;;LBN 173.44+02.54;HII Region;Auriga;"05h 39' 00""""";"35º 48' 00""""";;12' x 10';;;"05h 40' 42""""";"35º 48' 44"""""
APG 294;;;Group of Galaxies;Ursa Major;"11h 39' 42""""";"31º 55' 00""""";;10';;;"11h 41' 01""""";"31º 46' 37"""""
SH 2-163;;LBN 557,LBN 113.53-00.67,IRAS 23306+6031;HII Region;Cassiopeia;"23h 32' 58""""";"60º 48' 01""""";;10';;;"23h 34' 08""""";"60º 56' 22"""""
NGC 2353;;OCL 567,OCL 567.0,CL MELOTTE 62;Open Cluster;Monoceros;"07h 14' 34""""";"-10º 15' 25""""";07.sty;14' x 14';22.0;;"07h 15' 45""""";"-10º 18' 08"""""
LDN 27;;;Dark Nebula;Ophiuchus;"16h 27' 48""""";"-15º 07' 00""""";;1.9º x 1.9º;;;"16h 29' 14""""";"-15º 10' 16"""""
LDN 1241;;;Dark Nebula;Cepheus;"21h 50' 00""""";"76º 44' 00""""";;1.2º x 1.2º;;;"21h 50' 00""""";"76º 51' 06"""""
LBN 479;;LBN 103.10+01.28;HII Region;Cepheus;"22h 13' 00""""";"57º 54' 00""""";;45' x 20';;;"22h 13' 53""""";"58º 01' 31"""""
LDN 1309;;;Dark Nebula;Cassiopeia;"01h 07' 12""""";"62º 16' 00""""";;39' x 39';;;"01h 08' 48""""";"62º 24' 03"""""
LBN 968;;LBN 208.39-28.45;Reflection Nebula;Eridanus;"05h 01' 00""""";"-08º 54' 00""""";;20' x 12';;;"05h 02' 12""""";"-08º 51' 53"""""
SH 2-151;;LBN 517,LBN 108.59-02.73;HII Region;Cassiopeia;"23h 03' 26""""";"57º 13' 30""""";;20';;;"23h 04' 31""""";"57º 21' 40"""""
LDN 689;;;Dark Nebula;Aquila;"19h 40' 24""""";"10º 17' 00""""";;14' x 14';;;"19h 41' 36""""";"10º 20' 35"""""
BARNARD 343;;LDN 880;Dark Nebula;Cygnus;"20h 13' 48""""";"40º 19' 00""""";;13';;;"20h 14' 42""""";"40º 23' 39"""""
APG 297;;;Galaxy;Boötes;"14h 45' 19""""";"38º 45' 42""""";;10';;;"14h 46' 19""""";"38º 39' 24"""""
LBN 572;;LBN 116.03+25.51;HII Region;Draco;"19h 44' 00""""";"83º 36' 00""""";;3º x 25';;;"19h 40' 46""""";"83º 39' 38"""""
LDN 1320;;;Dark Nebula;Cepheus;"04h 15' 12""""";"85º 38' 00""""";;41' x 41';;;"04h 23' 11""""";"85º 41' 35"""""
LBN 423;;LBN 094.41-01.48;HII Region;Cygnus;"21h 38' 00""""";"50º 18' 00""""";;12' x 10';;;"21h 38' 54""""";"50º 24' 51"""""
LBN 734;;LBN 157.58-20.59,CED 12;Reflection Nebula;Perseus;"03h 26' 00""""";"31º 42' 00""""";;10' x 2';;;"03h 27' 34""""";"31º 47' 13"""""
SH 2-165;;LBN 565,LBN 114.55+00.22;HII Region;Cassiopeia;"23h 39' 48""""";"61º 56' 00""""";;10';;;"23h 41' 00""""";"62º 04' 23"""""
NGC 2409;;CL BOCHUM 4;Open Cluster;Puppis;"07h 31' 30""""";"-17º 13' 42""""";07.mar;16' x 16';45917;;"07h 32' 38""""";"-17º 16' 59"""""
LDN 720;;;Dark Nebula;Aquila;"19h 37' 18""""";"15º 27' 00""""";;2.7º x 2.7º;;;"19h 38' 27""""";"15º 30' 29"""""
BARNARD 219;;;Dark Nebula;Taurus;"04h 34' 00""""";"29º 36' 00""""";;2º;;;"04h 35' 35""""";"29º 39' 03"""""
LDN 459;;;Dark Nebula;Scutum;"18h 42' 42""""";"-09º 37' 00""""";;1.7º x 1.7º;;;"18h 44' 05""""";"-09º 35' 25"""""
LBN 1028;;LBN 223.87+01.37;HII Region;Monoceros;"07h 16' 00""""";"-09º 06' 00""""";;1.2º x 10';;;"07h 17' 12""""";"-09º 08' 46"""""
LBN 200;;LBN 075.24+06.47;HII Region;Cygnus;"19h 54' 00""""";"40º 18' 00""""";;1.2º x 10';;;"19h 54' 52""""";"40º 22' 02"""""
LDN 1399;;;Dark Nebula;Camelopardalis;"04h 24' 00""""";"55º 04' 00""""";;24' x 24';;;"04h 26' 02""""";"55º 07' 23"""""
LDN 523;;;Dark Nebula;Scutum;"18h 49' 12""""";"-05º 27' 00""""";;15' x 15';;;"18h 50' 33""""";"-05º 25' 11"""""
SH 2-123;;LBN 414,LBN 091.00-06.39;HII Region;Cygnus;"21h 42' 18""""";"44º 32' 00""""";;13';;;"21h 43' 17""""";"44º 38' 57"""""
LDN 1030;;;Dark Nebula;Cygnus;"21h 46' 30""""";"47º 06' 00""""";;11' x 11';;;"21h 47' 28""""";"47º 13' 02"""""
NGC 7031;;OCL 210;Open Cluster;Cygnus;"21h 07' 14""""";"50º 52' 12""""";09.sty;14' x 14';45831;;"21h 08' 03""""";"50º 58' 21"""""
LBN 742;;LBN 158.62+00.70;HII Region;Perseus;"04h 45' 00""""";"46º 48' 00""""";;55' x 30';;;"04h 46' 51""""";"46º 50' 40"""""
BARNARD 162;;;Dark Nebula;Cepheus;"21h 41' 12""""";"56º 19' 00""""";;13';;;"21h 42' 01""""";"56º 25' 55"""""
CL DOLIDZE 5;;OCL 171.0;Open Cluster;Cygnus;"20h 20' 06""""";"39º 19' 52""""";;10' x 10';;;"20h 21' 01""""";"39º 24' 42"""""
LDN 1580;;;Dark Nebula;Orion;"05h 33' 48""""";"12º 52' 00""""";;28' x 28';;;"05h 35' 13""""";"12º 52' 56"""""
LBN 482;;LBN 103.30+03.38;HII Region;Cepheus;"22h 05' 00""""";"59º 42' 00""""";;20' x 10';;;"22h 05' 50""""";"59º 49' 23"""""
LDN 1209;;;Dark Nebula;Cepheus;"22h 29' 42""""";"64º 45' 00""""";;20' x 20';;;"22h 30' 32""""";"64º 52' 46"""""
SH 2-247;;LBN 843,LBN 189.02+00.91;HII Region;Gemini;"06h 08' 23""""";"21º 35' 18""""";;9';;;"06h 09' 54""""";"21º 34' 58"""""
LBN 454;;LBN 099.41-15.37;HII Region;Lacerta;"22h 47' 00""""";"41º 48' 00""""";;3º x 2º;;;"22h 48' 08""""";"41º 56' 00"""""
LDN 1539;;;Dark Nebula;Taurus;"04h 55' 42""""";"26º 38' 00""""";;1.5º x 1.5º;;;"04h 57' 16""""";"26º 40' 18"""""
LBN 321;;LBN 082.58-06.92;HII Region;Cygnus;"21h 12' 00""""";"38º 12' 00""""";;1.4º x 10';;;"21h 13' 00""""";"38º 18' 16"""""
LBN 905;;LBN 201.83-11.31;HII Region;Orion;"05h 51' 00""""";"04º 30' 00""""";;1.3º x 1º;;;"05h 52' 20""""";"04º 30' 18"""""
SH 2-246;;LBN 838,LBN 186.96-16.62;HII Region;Orion;"05h 02' 06""""";"14º 05' 00""""";;1.1º;;;"05h 03' 32""""";"14º 07' 05"""""
LBN 980;;LBN 211.04-28.21;HII Region;Lepus;"05h 06' 00""""";"-10º 54' 00""""";;50' x 12';;;"05h 07' 11""""";"-10º 52' 03"""""
SH 2-203;;LBN 685,LBN 143.37-02.20;HII Region;Perseus;"03h 22' 59""""";"54º 49' 42""""";;45';;;"03h 24' 54""""";"54º 55' 00"""""
BARNARD 351;;;Dark Nebula;Cygnus;"20h 52' 30""""";"47º 24' 00""""";;30' x 8';;;"20h 53' 21""""";"47º 29' 46"""""
LDN 1515;;;Dark Nebula;Auriga;"04h 53' 12""""";"30º 55' 00""""";;23' x 23';;;"04h 54' 49""""";"30º 57' 23"""""
BARNARD 35;;;Dark Nebula;Orion;"05h 45' 30""""";"09º 03' 00""""";;15';;;"05h 46' 53""""";"09º 03' 30"""""
LDN 1519;;;Dark Nebula;Auriga;"04h 55' 42""""";"30º 35' 00""""";;15' x 15';;;"04h 57' 19""""";"30º 37' 18"""""
SH 2-98;;LBN 154,LBN 068.07+00.92;HII Region;Cygnus;"19h 59' 01""""";"31º 22' 30""""";;15';;;"20h 00' 01""""";"31º 26' 41"""""
NGC 6989;;;Asterism;Cygnus;"20h 53' 58""""";"45º 14' 24""""";;10';;;"20h 54' 51""""";"45º 20' 12"""""
SH 2-67;;LBN 94,LBN 030.66-00.65,IRAS 18467-0225;HII Region;Aquila;"18h 49' 22""""";"-02º 21' 38""""";;10';;;"18h 50' 41""""";"-02º 19' 49"""""
NGC 6645;;CL MELOTTE 205;Open Cluster;Sagittarius;"18h 32' 38""""";"-16º 55' 05""""";08.maj;15' x 15';23.0;;"18h 34' 05""""";"-16º 53' 52"""""
LDN 798;;;Dark Nebula;Vulpecula;"19h 47' 06""""";"26º 07' 00""""";;1.6º x 1.6º;;;"19h 48' 09""""";"26º 10' 48"""""
LBN 641;;LBN 132.05+01.12;HII Region;Cassiopeia;"02h 12' 00""""";"62º 30' 00""""";;35' x 10';;;"02h 13' 53""""";"62º 37' 02"""""
CL STOCK 5;;OCL 339,OCL 339.0;Open Cluster;Cassiopeia;"02h 04' 29""""";"64º 21' 54""""";;23' x 23';;;"02h 06' 23""""";"64º 29' 05"""""
LBN 301;;LBN 081.31+05.04;HII Region;Cygnus;"20h 18' 00""""";"44º 42' 00""""";;20' x 10';;;"20h 18' 50""""";"44º 46' 47"""""
BARNARD 171;;LDN 1153;Dark Nebula;Cepheus;"22h 00' 36""""";"58º 59' 00""""";;17' x 17';;;"22h 01' 26""""";"59º 06' 18"""""
LDN 1384;;;Dark Nebula;Camelopardalis;"03h 20' 00""""";"60º 01' 00""""";;16' x 16';;;"03h 22' 02""""";"60º 06' 23"""""
SH 2-181;;LBN 614,LBN 122.92+02.39,IRAS 00463+6459;HII Region;Cassiopeia;"00h 49' 22""""";"65º 15' 37""""";;15';;;"00h 50' 55""""";"65º 23' 50"""""
SH 2-139;;LBN 502,LBN 106.32-00.35;HII Region;Cepheus;"22h 35' 00""""";"58º 13' 00""""";;10';;;"22h 35' 58""""";"58º 20' 51"""""
LBN 632;;LBN 127.53+24.47;HII Region;Cepheus;"04h 45' 00""""";"85º 06' 00""""";;1.8º x 30';;;"04h 52' 33""""";"85º 08' 34"""""
LBN 6;;LBN 001.05+20.01;HII Region;Ophiuchus;"16h 37' 00""""";"-16º 36' 00""""";;1.5º x 8';;;"16h 38' 27""""";"-16º 38' 57"""""
LDN 1546;;;Dark Nebula;Taurus;"04h 28' 54""""";"18º 27' 00""""";;37' x 37';;;"04h 30' 22""""";"18º 30' 14"""""
LDN 695;;;Dark Nebula;Aquila;"19h 44' 24""""";"10º 27' 00""""";;36' x 36';;;"19h 45' 36""""";"10º 30' 43"""""
BARNARD 12;;LDN 1407;Dark Nebula;Camelopardalis;"04h 29' 59""""";"54º 16' 30""""";;24';;;"04h 32' 00""""";"54º 19' 41"""""
BARNARD 93;;LDN 327;Dark Nebula;Sagittarius;"18h 16' 54""""";"-18º 04' 00""""";;9' x 5';;;"18h 18' 22""""";"-18º 03' 21"""""
LBN 415;;LBN 091.47+38.51;HII Region;Draco;"16h 46' 00""""";"61º 24' 00""""";;3.5º x 20';;;"16h 46' 19""""";"61º 21' 20"""""
LBN 1026;;LBN 223.58+01.53;HII Region;Monoceros;"07h 16' 00""""";"-08º 48' 00""""";;2.3º x 10';;;"07h 17' 13""""";"-08º 50' 46"""""
LDN 1223;;;Dark Nebula;Cepheus;"22h 56' 54""""";"64º 16' 00""""";;1º x 1º;;;"22h 57' 53""""";"64º 24' 06"""""
CL ROSLUND 5;;;Open Cluster;Cygnus;"20h 10' 34""""";"33º 45' 04""""";;45' x 45';;;"20h 11' 32""""";"33º 49' 37"""""
SH 2-51;;LBN 65,LBN 016.77-05.31,IRAS 18377-1636;HII Region;Sagittarius;"18h 40' 39""""";"-16º 33' 54""""";;35';;;"18h 42' 06""""";"-16º 32' 23"""""
BARNARD 356;;LDN 950;Dark Nebula;Cygnus;"21h 00' 30""""";"46º 37' 00""""";;22' x 22';;;"21h 01' 22""""";"46º 42' 58"""""
LDN 779;;;Dark Nebula;Vulpecula;"19h 30' 06""""";"23º 21' 00""""";;22' x 22';;;"19h 31' 10""""";"23º 24' 14"""""
LDN 1006;;;Dark Nebula;Cygnus;"21h 31' 18""""";"47º 48' 00""""";;12' x 12';;;"21h 32' 13""""";"47º 54' 43"""""
LBN 814;;LBN 174.34-17.75,CED 34;HII Region;Taurus;"04h 27' 00""""";"22º 54' 00""""";;10' x 6';;;"04h 28' 31""""";"22º 57' 18"""""
SH 2-48;;LBN 64,LBN 016.68-00.47,IRAS 18195-1433;HII Region;Scutum;"18h 22' 22""""";"-14º 32' 05""""";;10';;;"18h 23' 48""""";"-14º 31' 14"""""
LDN 1012;;;Dark Nebula;Cygnus;"21h 34' 06""""";"48º 06' 00""""";;9' x 9';;;"21h 35' 01""""";"48º 12' 46"""""
LDN 1250;;;Dark Nebula;Cepheus;"23h 22' 06""""";"67º 16' 00""""";;1.6º x 1.6º;;;"23h 23' 10""""";"67º 24' 18"""""
LBN 629;;LBN 126.54+32.58,IRAS 10468+8400,IRAS 10484+8359,IRAS 10504+8357;HII Region;Camelopardalis;"10h 52' 32""""";"83º 44' 12""""";;1.3º x 30';;;"10h 55' 16""""";"83º 36' 08"""""
LDN 1043;;;Dark Nebula;Cygnus;"21h 39' 48""""";"49º 14' 00""""";;1.1º x 1.1º;;;"21h 40' 43""""";"49º 20' 54"""""
LBN 955;;LBN 207.26-13.06;HII Region;Orion;"05h 55' 00""""";"-01º 00' 00""""";;40' x 10';;;"05h 56' 17""""";"-00º 59' 50"""""
BARNARD 119A;;;Dark Nebula;Scutum;"18h 54' 42""""";"-05º 10' 00""""";;30' x 30';;;"18h 56' 02""""";"-05º 07' 59"""""
LBN 106;;LBN 037.66+44.05;HII Region;Hercules;"16h 13' 00""""";"21º 42' 00""""";;30' x 20';;;"16h 14' 05""""";"21º 38' 14"""""
LBN 762;;LBN 161.73-35.81;HII Region;Aries;"03h 00' 00""""";"17º 12' 00""""";;30' x 30';;;"03h 01' 25""""";"17º 17' 56"""""
LDN 1214;;;Dark Nebula;Cepheus;"22h 33' 36""""";"65º 46' 00""""";;30' x 30';;;"22h 34' 26""""";"65º 53' 50"""""
LDN 684;;;Dark Nebula;Aquila;"19h 21' 48""""";"12º 26' 00""""";;26' x 26';;;"19h 22' 58""""";"12º 28' 58"""""
BARNARD 110;;;Dark Nebula;Scutum;"18h 50' 06""""";"-04º 46' 00""""";;25' x 22';;;"18h 51' 26""""";"-04º 44' 09"""""
BARNARD 345;;;Dark Nebula;Cygnus;"20h 21' 00""""";"46º 33' 00""""";;25' x 25';;;"20h 21' 48""""";"46º 37' 52"""""
BARNARD 2;;;Dark Nebula;Perseus;"03h 33' 30""""";"32º 19' 00""""";;20' x 20';;;"03h 35' 05""""";"32º 24' 00"""""
LBN 486;;LBN 104.04+01.73;HII Region;Cepheus;"22h 17' 00""""";"58º 54' 00""""";;20' x 8';;;"22h 17' 53""""";"59º 01' 35"""""
LBN 924;;LBN 203.96-15.31;HII Region;Orion;"05h 41' 00""""";"-00º 48' 00""""";;15' x 10';;;"05h 42' 17""""";"-00º 47' 20"""""
SH 2-40;;LBN 49,LBN 012.71+00.37;HII Region;Sagittarius;"18h 12' 11""""";"-17º 42' 48""""";;15';;;"18h 13' 39""""";"-17º 42' 20"""""
BARNARD 104;;LDN 532;Dark Nebula;Scutum;"18h 47' 06""""";"-04º 22' 00""""";;12' x 4';;;"18h 48' 26""""";"-04º 20' 16"""""
SH 2-225;;LBN 778,LBN 168.13+02.97;HII Region;Auriga;"05h 27' 10""""";"40º 37' 30""""";;10';;;"05h 28' 56""""";"40º 38' 40"""""
IC 1434;;CL MELOTTE 239,CL COLLINDER 445,OCL 223.0;Open Cluster;Lacerta;"22h 10' 30""""";"52º 51' 29""""";9.0;11' x 11';45921;;"22h 11' 27""""";"52º 58' 58"""""
LDN 1398;;;Dark Nebula;Camelopardalis;"04h 19' 00""""";"54º 27' 00""""";;42' x 42';;;"04h 21' 00""""";"54º 30' 33"""""
LBN 199;;LBN 075.23+04.89;HII Region;Cygnus;"20h 01' 00""""";"39º 24' 00""""";;35' x 10';;;"20h 01' 54""""";"39º 28' 15"""""
LBN 61;;LBN 015.67+01.74;HII Region;Serpens;"18h 13' 00""""";"-14º 30' 00""""";;20' x 15';;;"18h 14' 26""""";"-14º 29' 30"""""
NGC 110;;;Open Cluster;Cassiopeia;"00h 27' 25""""";"71º 25' 18""""";;19';;;"00h 28' 55""""";"71º 33' 39"""""
LDN 1243;;;Dark Nebula;Cepheus;"22h 10' 18""""";"75º 09' 00""""";;18' x 16';;;"22h 10' 37""""";"75º 16' 28"""""
NGC 743;;;Open Cluster;Cassiopeia;"01h 58' 27""""";"60º 07' 48""""";;15' x 15';;;"02h 00' 14""""";"60º 15' 06"""""
LBN 538;;LBN 111.16+11.66;HII Region;Cepheus;"22h 20' 00""""";"71º 00' 00""""";;10' x 4';;;"22h 20' 36""""";"71º 07' 38"""""
SH 2-217;;LBN 745,LBN 159.17+03.33;HII Region;Auriga;"04h 58' 46""""";"47º 59' 36""""";;9';;;"05h 00' 39""""";"48º 01' 47"""""
BARNARD 19;;;Dark Nebula;Taurus;"04h 33' 00""""";"26º 18' 00""""";;1º;;;"04h 34' 33""""";"26º 21' 05"""""
BARNARD 20;;;Dark Nebula;Perseus;"04h 37' 06""""";"50º 58' 00""""";;1º x 1º;;;"04h 39' 02""""";"51º 00' 57"""""
LBN 915;;LBN 203.48-22.19;HII Region;Orion;"05h 16' 00""""";"-02º 06' 00""""";;1º x 20';;;"05h 17' 16""""";"-02º 04' 25"""""
LBN 175;;LBN 071.89-00.38;HII Region;Cygnus;"20h 14' 00""""";"33º 54' 00""""";;53' x 15';;;"20h 14' 59""""";"33º 58' 39"""""
LBN 919;;LBN 203.68-21.16;HII Region;Orion;"05h 20' 00""""";"-01º 42' 00""""";;50' x 15';;;"05h 21' 16""""";"-01º 40' 34"""""
LBN 413;;LBN 090.48+38.06;HII Region;Draco;"16h 51' 00""""";"60º 42' 00""""";;40' x 12';;;"16h 51' 20""""";"60º 39' 31"""""
NGC 2204;;CL MELOTTE 44;Open Cluster;Canis Major;"06h 15' 32""""";"-18º 40' 12""""";08.cze;12' x 12';45710;;"06h 16' 38""""";"-18º 40' 47"""""
LDN 1304;;;Dark Nebula;Cassiopeia;"00h 43' 06""""";"69º 46' 00""""";;2º x 2º;;;"00h 44' 41""""";"69º 54' 15"""""
LDN 183;;LDN 134N;Molecular Cloud;Serpens;"15h 54' 12""""";"-02º 49' 42""""";;1.3º x 1.3º;;;"15h 55' 31""""";"-02º 54' 04"""""
LDN 368;;;Dark Nebula;Serpens;"18h 05' 18""""";"-13º 10' 00""""";;1.3º x 1.3º;;;"18h 06' 43""""";"-13º 09' 47"""""
LBN 294;;LBN 080.94+07.75;HII Region;Cygnus;"20h 04' 00""""";"45º 48' 00""""";;1.2º x 5';;;"20h 04' 48""""";"45º 52' 21"""""
NGC 6682;;;Star Cloud;Scutum;"18h 39' 39""""";"-04º 48' 00""""";;47';;;"18h 40' 59""""";"-04º 46' 32"""""
LDN 362;;;Dark Nebula;Sagittarius;"18h 29' 54""""";"-17º 08' 00""""";;41' x 41';;;"18h 31' 22""""";"-17º 06' 53"""""
LDN 770;;;Dark Nebula;Vulpecula;"19h 32' 06""""";"22º 06' 00""""";;35' x 35';;;"19h 33' 11""""";"22º 09' 18"""""
SH 2-260;;LBN 860,LBN 193.74-22.66;HII Region;Orion;"04h 55' 12""""";"05º 40' 00""""";;22';;;"04h 56' 33""""";"05º 42' 19"""""
LDN 1048;;;Dark Nebula;Cygnus;"21h 35' 18""""";"50º 20' 00""""";;16' x 16';;;"21h 36' 12""""";"50º 26' 48"""""
LBN 523;;LBN 109.07+06.41;Reflection Nebula;Cepheus;"22h 32' 00""""";"65º 30' 00""""";;15' x 10';;;"22h 32' 50""""";"65º 37' 48"""""
SH 2-180;;;HII Region;Cassiopeia;"00h 48' 48""""";"62º 55' 00""""";;15';;;"00h 50' 20""""";"63º 03' 13"""""
SH 2-66;;LBN 92,LBN 030.54+00.41;HII Region;Aquila;"18h 45' 30""""";"-02º 00' 00""""";;9' x 5.1';;;"18h 46' 49""""";"-01º 58' 19"""""
LDN 283;;;Dark Nebula;Serpens;"17h 38' 54""""";"-16º 02' 00""""";;2.2º x 2.2º;;;"17h 40' 21""""";"-16º 02' 45"""""
LBN 759;;LBN 161.30+03.18;HII Region;Auriga;"05h 06' 00""""";"46º 18' 00""""";;1.5º x 30';;;"05h 07' 52""""";"46º 19' 56"""""
LDN 496;;;Dark Nebula;Scutum;"18h 47' 42""""";"-07º 47' 00""""";;1.1º x 1.1º;;;"18h 49' 04""""";"-07º 45' 14"""""
LDN 1444;;;Dark Nebula;Perseus;"04h 33' 42""""";"46º 56' 00""""";;44' x 44';;;"04h 35' 33""""";"46º 59' 04"""""
LDN 1010;;;Dark Nebula;Cygnus;"21h 38' 54""""";"47º 04' 00""""";;26' x 26';;;"21h 39' 51""""";"47º 10' 53"""""
LDN 1402;;;Dark Nebula;Camelopardalis;"04h 24' 00""""";"54º 37' 00""""";;25' x 25';;;"04h 26' 01""""";"54º 40' 23"""""
LDN 840;;;Dark Nebula;Cygnus;"19h 54' 18""""";"35º 08' 00""""";;20' x 20';;;"19h 55' 15""""";"35º 12' 02"""""
LDN 1645;;;Dark Nebula;Monoceros;"06h 06' 57""""";"-05º 40' 30""""";;14' x 14';;;"06h 08' 11""""";"-05º 40' 47"""""
NGC 2374;;OCL 585;Open Cluster;Canis Major;"07h 24' 04""""";"-13º 14' 06""""";8.0;19' x 19';22.0;;"07h 25' 14""""";"-13º 17' 08"""""
LDN 833;;;Dark Nebula;Cygnus;"19h 54' 54""""";"33º 48' 00""""";;1.2º x 1.2º;;;"19h 55' 52""""";"33º 52' 03"""""
LDN 557;;;Dark Nebula;Serpens;"18h 38' 35""""";"-01º 47' 12""""";;56' x 28';;;"18h 39' 53""""";"-01º 45' 46"""""
LBN 982;;LBN 211.26-15.36;HII Region;Orion;"05h 53' 00""""";"-05º 30' 00""""";;50' x 10';;;"05h 54' 14""""";"-05º 29' 46"""""
LDN 1434;;;Dark Nebula;Perseus;"03h 36' 06""""";"37º 41' 00""""";;50' x 50';;;"03h 37' 45""""";"37º 45' 55"""""
SH 2-262;;LBN 868,LBN 194.71-19.99;HII Region;Orion;"05h 06' 48""""";"06º 10' 00""""";;20';;;"05h 08' 09""""";"06º 11' 55"""""
LDN 1296;;;Dark Nebula;Cassiopeia;"00h 44' 48""""";"52º 46' 00""""";;11' x 11';;;"00h 46' 14""""";"52º 54' 15"""""
