Catalogue Entry;Familiar Name;Alternative Entries;Type;Constellation;Right Ascension (j2000);Declination (j2000);Magnitude;Size;Surface Brightness (mag/arcsec2);Notes;Right Ascension (jNow);Declination (jNow)
BARNARD 221;;;Dark Nebula;Auriga;"04h 44' 00""""";"31º 42' 00""""";;45';;;"04h 45' 37""""";"31º 44' 43"""""
LDN 1488;;;Dark Nebula;Auriga;"04h 53' 24""""";"36º 42' 00""""";;45' x 45';;;"04h 55' 06""""";"36º 44' 23"""""
LDN 1288;;;Dark Nebula;Cassiopeia;"00h 38' 00""""";"66º 06' 00""""";;35' x 35';;;"00h 39' 30""""";"66º 14' 17"""""
LDN 591;;;Dark Nebula;Serpens;"18h 36' 36""""";"-00º 47' 00""""";;35' x 35';;;"18h 37' 54""""";"-00º 45' 38"""""
LDN 1485;;;Dark Nebula;Perseus;"04h 37' 18""""";"35º 41' 00""""";;34' x 34';;;"04h 38' 58""""";"35º 43' 56"""""
LDN 1446;;;Dark Nebula;Perseus;"03h 45' 48""""";"37º 14' 00""""";;33' x 33';;;"03h 47' 27""""";"37º 18' 37"""""
LBN 277;;LBN 080.15-01.55;HII Region;Cygnus;"20h 43' 00""""";"39º 54' 00""""";;30' x 30';;;"20h 43' 56""""";"39º 59' 30"""""
LBN 573;;LBN 116.20+12.34;HII Region;Cepheus;"23h 14' 00""""";"74º 00' 00""""";;30' x 20';;;"23h 14' 54""""";"74º 08' 15"""""
LDN 664;;;Dark Nebula;Aquila;"19h 20' 54""""";"09º 46' 00""""";;26' x 26';;;"19h 22' 06""""";"09º 48' 56"""""
LDN 1254;;;Dark Nebula;Cassiopeia;"23h 56' 30""""";"58º 47' 00""""";;23' x 23';;;"23h 57' 47""""";"58º 55' 25"""""
LDN 1562;;;Dark Nebula;Orion;"05h 02' 00""""";"14º 18' 00""""";;23' x 23';;;"05h 03' 26""""";"14º 20' 05"""""
LDN 538;;;Dark Nebula;Serpens;"18h 36' 36""""";"-02º 47' 00""""";;22' x 22';;;"18h 37' 55""""";"-02º 45' 38"""""
NGC 2224;;;Asterism;Gemini;"06h 27' 32""""";"12º 39' 20""""";;20' x 20';;;"06h 28' 57""""";"12º 38' 18"""""
LDN 963;;;Dark Nebula;Cygnus;"21h 13' 48""""";"46º 32' 00""""";;19' x 19';;;"21h 14' 42""""";"46º 38' 18"""""
LDN 583;;;Dark Nebula;Serpens;"18h 33' 36""""";"00º 37' 00""""";;17' x 17';;;"18h 34' 53""""";"00º 38' 15"""""
LDN 865;;;Dark Nebula;Cygnus;"20h 04' 12""""";"37º 47' 00""""";;16' x 16';;;"20h 05' 07""""";"37º 51' 21"""""
LDN 793;;;Dark Nebula;Vulpecula;"19h 39' 36""""";"25º 27' 00""""";;15' x 15';;;"19h 40' 39""""";"25º 30' 34"""""
NGC 6561;;;Asterism;Sagittarius;"18h 10' 38""""";"-16º 44' 24""""";;15' x 15';;;"18h 12' 06""""";"-16º 43' 59"""""
CL BERKELEY 18;;CL KING 22;Open Cluster;Auriga;"05h 22' 07""""";"45º 26' 31""""";;14' x 14';;;"05h 23' 59""""";"45º 27' 52"""""
LDN 1458;;;Dark Nebula;Aries;"02h 57' 48""""";"20º 12' 00""""";;14' x 14';;;"02h 59' 14""""";"20º 17' 59"""""
NGC 6873;;;Asterism;Sagitta;"20h 07' 41""""";"21º 05' 24""""";;14';;;"20h 08' 47""""";"21º 09' 52"""""
LDN 450;;;Dark Nebula;Scutum;"18h 32' 42""""";"-08º 38' 00""""";;13' x 13';;;"18h 34' 04""""";"-08º 36' 47"""""
LBN 379;;LBN 086.06+05.84;HII Region;Cygnus;"20h 30' 00""""";"49º 00' 00""""";;12' x 10';;;"20h 30' 47""""";"49º 05' 08"""""
CL DOLIDZE 28;;;Open Cluster;Scutum;"18h 25' 29""""";"-14º 39' 00""""";;12' x 12';;;"18h 26' 55""""";"-14º 38' 02"""""
LDN 1274;;;Molecular Cloud;Cepheus;"23h 57' 30""""";"70º 57' 00""""";;11' x 11';;;"23h 58' 47""""";"71º 05' 25"""""
CL BERKELEY 53;;;Open Cluster;Cygnus;"20h 55' 54""""";"51º 03' 36""""";;11' x 11';;;"20h 56' 41""""";"51º 09' 27"""""
BARNARD 103;;LDN 497;Dark Nebula;Scutum;"18h 39' 11""""";"-06º 37' 15""""";;10' x 7.8';;;"18h 40' 33""""";"-06º 35' 48"""""
BARNARD 117A;;;Dark Nebula;Scutum;"18h 53' 42""""";"-04º 50' 00""""";;10' x 10';;;"18h 55' 02""""";"-04º 48' 01"""""
BARNARD 159;;LDN 973;Dark Nebula;Cygnus;"21h 37' 30""""";"43º 14' 00""""";;10' x 10';;;"21h 38' 29""""";"43º 20' 51"""""
CL DOLIDZE-DZIM 2;;;Open Cluster;Orion;"05h 23' 53""""";"11º 29' 24""""";;10' x 10';;;"05h 25' 17""""";"11º 30' 42"""""
LBN 66;;LBN 016.88-01.18;HII Region;Scutum;"18h 26' 00""""";"-14º 48' 00""""";;10' x 6';;;"18h 27' 26""""";"-14º 47' 01"""""
LDN 1279;;;Dark Nebula;Cassiopeia;"00h 17' 42""""";"63º 47' 00""""";;10' x 10';;;"00h 19' 05""""";"63º 55' 23"""""
CL BERKELEY 39;;;Open Cluster;Monoceros;"07h 46' 49""""";"-04º 39' 54""""";;9.9' x 9.9';;;"07h 48' 03""""";"-04º 43' 42"""""
CL ROSLUND 3;;;Open Cluster;Sagitta;"19h 58' 47""""";"20º 30' 32""""";;9.7' x 9.7';;;"19h 59' 53""""";"20º 34' 43"""""
BARNARD 227;;LDN 1570;Dark Nebula;Orion;"06h 07' 28""""";"19º 28' 04""""";;9' x 6';;;"06h 08' 58""""";"19º 27' 46"""""
LDN 1376;;;Dark Nebula;Cassiopeia;"02h 43' 48""""";"60º 33' 00""""";;9' x 9';;;"02h 45' 45""""";"60º 39' 20"""""
LBN 981;;LBN 211.10-36.54;HII Region;Eridanus;"04h 35' 00""""";"-14º 24' 00""""";;2º x 16';;;"04h 36' 09""""";"-14º 20' 58"""""
LBN 355;;LBN 084.67-11.34;HII Region;Cygnus;"21h 35' 00""""";"36º 30' 00""""";;1.5º x 40';;;"21h 36' 03""""";"36º 36' 48"""""
LDN 1328;;;Dark Nebula;Cassiopeia;"01h 38' 36""""";"67º 15' 00""""";;1.2º x 1.2º;;;"01h 40' 27""""";"67º 22' 38"""""
LDN 409;;;Dark Nebula;Scutum;"18h 41' 48""""";"-13º 27' 00""""";;1.2º x 1.2º;;;"18h 43' 13""""";"-13º 25' 27"""""
LDN 1487;;;Dark Nebula;Auriga;"04h 39' 18""""";"34º 56' 00""""";;58' x 58';;;"04h 40' 58""""";"34º 58' 52"""""
LBN 888;;LBN 199.63-16.41;HII Region;Orion;"05h 29' 00""""";"03º 48' 00""""";;55' x 10';;;"05h 30' 20""""";"03º 49' 07"""""
LBN 250;;LBN 078.81-05.71;HII Region;Cygnus;"20h 55' 00""""";"36º 12' 00""""";;50' x 20';;;"20h 56' 00""""";"36º 17' 50"""""
LDN 1542;;;Dark Nebula;Taurus;"05h 01' 06""""";"25º 34' 00""""";;48' x 48';;;"05h 02' 39""""";"25º 36' 07"""""
LBN 881;;LBN 197.79-17.11;HII Region;Orion;"05h 23' 00""""";"05º 00' 00""""";;45' x 15';;;"05h 24' 20""""";"05º 01' 20"""""
LDN 1481;;;Dark Nebula;Perseus;"04h 39' 18""""";"38º 19' 00""""";;45' x 45';;;"04h 41' 00""""";"38º 21' 52"""""
LDN 279;;;Dark Nebula;Sagittarius;"17h 52' 54""""";"-18º 31' 00""""";;41' x 41';;;"17h 54' 23""""";"-18º 31' 14"""""
LBN 22;;LBN 005.86+25.87;HII Region;Ophiuchus;"16h 29' 00""""";"-09º 30' 00""""";;40' x 20';;;"16h 30' 23""""";"-09º 33' 14"""""
LBN 229;;LBN 077.33-02.26;HII Region;Cygnus;"20h 37' 00""""";"37º 12' 00""""";;40' x 10';;;"20h 37' 58""""";"37º 17' 20"""""
LBN 882;;LBN 197.83-17.71;HII Region;Orion;"05h 21' 00""""";"04º 42' 00""""";;40' x 6';;;"05h 22' 20""""";"04º 43' 24"""""
LDN 1176;;;Dark Nebula;Cepheus;"21h 31' 00""""";"66º 43' 00""""";;40' x 40';;;"21h 31' 30""""";"66º 49' 42"""""
NGC 2226;;;Open Cluster;Monoceros;"06h 26' 38""""";"-09º 38' 32""""";;40';;;"06h 27' 49""""";"-09º 39' 32"""""
LDN 1600;;;Dark Nebula;Gemini;"06h 30' 48""""";"12º 58' 00""""";;38' x 38';;;"06h 32' 13""""";"12º 56' 51"""""
LBN 460;;LBN 100.91-16.68;HII Region;Lacerta;"22h 57' 00""""";"41º 18' 00""""";;35' x 20';;;"22h 58' 09""""";"41º 26' 06"""""
LBN 909;;LBN 202.80-31.80;HII Region;Eridanus;"04h 40' 00""""";"-06º 06' 00""""";;35' x 10';;;"04h 41' 14""""";"-06º 03' 09"""""
LDN 407;;;Dark Nebula;Scutum;"18h 34' 48""""";"-12º 58' 00""""";;35' x 35';;;"18h 36' 13""""";"-12º 56' 42"""""
LBN 176;;LBN 071.94+06.82;HII Region;Cygnus;"19h 44' 00""""";"37º 36' 00""""";;30' x 6';;;"19h 44' 54""""";"37º 39' 42"""""
LBN 462;;LBN 101.18-15.32;HII Region;Lacerta;"22h 55' 00""""";"42º 36' 00""""";;30' x 20';;;"22h 56' 09""""";"42º 44' 05"""""
LDN 1199;;;Dark Nebula;Cepheus;"21h 35' 54""""";"68º 33' 00""""";;29' x 29';;;"21h 36' 21""""";"68º 39' 48"""""
LDN 1066;;;Dark Nebula;Cygnus;"21h 47' 48""""";"50º 44' 00""""";;28' x 28';;;"21h 48' 43""""";"50º 51' 04"""""
